iter	Passed	Remaining
0	0	53
1	1	49
2	1	46
3	2	48
4	2	48
5	3	47
6	3	46
7	4	46
8	4	46
9	5	45
10	5	44
11	5	43
12	6	43
13	6	42
14	7	42
15	7	41
16	8	41
17	9	43
18	10	42
19	10	42
20	11	41
21	11	40
22	12	40
23	12	39
24	12	38
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	35
31	16	35
32	17	34
33	17	34
34	17	33
35	18	32
36	18	32
37	19	31
38	19	31
39	20	30
40	20	29
41	21	29
42	21	28
43	22	28
44	22	27
45	23	27
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	29	19
61	30	18
62	30	18
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	40	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	45	2
95	46	1
96	46	1
97	47	0
98	48	0
99	48	0
